NAME,2020,2021,2022,code
Alabama,5031362,5049846,5074296,AL
Alaska,732923,734182,733583,AK
Arizona,7179943,7264877,7359197,AZ
Arkansas,3014195,3028122,3045637,AR
California,39501653,39142991,39029342,CA
Colorado,5784865,5811297,5839926,CO
Connecticut,3597362,3623355,3626205,CT
Delaware,992114,1004807,1018396,DE
District of Columbia,670868,668791,671803,DC
Florida,21589602,21828069,22244823,FL
Georgia,10729828,10788029,10912876,GA
Hawaii,1451043,1447154,1440196,HI
Idaho,1849202,1904314,1939033,ID
Illinois,12786580,12686469,12582032,IL
Indiana,6788799,6813532,6833037,IN
Iowa,3190571,3197689,3200517,IA
Kansas,2937919,2937922,2937150,KS
Kentucky,4507445,4506589,4512310,KY
Louisiana,4651664,4627098,4590241,LA
Maine,1363557,1377238,1385340,ME
Maryland,6173205,6174610,6164660,MD
Massachusetts,6995729,6989690,6981974,MA
Michigan,10069577,10037504,10034113,MI
Minnesota,5709852,5711471,5717184,MN
Mississippi,2958141,2949586,2940057,MS
Missouri,6153998,6169823,6177957,MO
Montana,1087075,1106227,1122867,MT
Nebraska,1962642,1963554,1967923,NE
Nevada,3115648,3146402,3177772,NV
New Hampshire,1378587,1387505,1395231,NH
New Jersey,9271689,9267961,9261699,NJ
New Mexico,2118390,2116677,2113344,NM
New York,20108296,19857492,19677151,NY
North Carolina,10449445,10565885,10698973,NC
North Dakota,779518,777934,779261,ND
Ohio,11797517,11764342,11756058,OH
Oklahoma,3964912,3991225,4019800,OK
Oregon,4244795,4256301,4240137,OR
Pennsylvania,12994440,13012059,12972008,PA
Rhode Island,1096345,1096985,1093734,RI
South Carolina,5131848,5193266,5282634,SC
South Dakota,887799,896164,909824,SD
Tennessee,6925619,6968351,7051339,TN
Texas,29232474,29558864,30029572,TX
Utah,3283785,3339113,3380800,UT
Vermont,642893,646972,647064,VT
Virginia,8636471,8657365,8683619,VA
Washington,7724031,7740745,7785786,WA
West Virginia,1791420,1785526,1775156,WV
Wisconsin,5896271,5880101,5892539,WI
Wyoming,577605,579483,581381,WY
